Filename                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover
bfd/ns32knetbsd.c                          0                 0         -           0                 0         -           0                 0         -
bfd/pe-arm-wince.c                         0                 0         -           0                 0         -           0                 0         -
bfd/pe-i386.c                              0                 0         -           0                 0         -           0                 0         -
bfd/pe-sh.c                                0                 0         -           0                 0         -           0                 0         -
bfd/pe-x86_64.c                            0                 0         -           0                 0         -           0                 0         -
bfd/pef-traceback.h                        0                 0         -           0                 0         -           0                 0         -
bfd/pef.h                                  0                 0         -           0                 0         -           0                 0         -
bfd/pei-arm-wince.c                        0                 0         -           0                 0         -           0                 0         -
bfd/pei-arm.c                              0                 0         -           0                 0         -           0                 0         -
bfd/pei-i386.c                             0                 0         -           0                 0         -           0                 0         -
bfd/pei-ia64.c                             0                 0         -           0                 0         -           0                 0         -
bfd/pei-sh.c                               0                 0         -           0                 0         -           0                 0         -
bfd/som.h                                  0                 0         -           0                 0         -           0                 0         -
bfd/sparcnetbsd.c                          0                 0         -           0                 0         -           0                 0         -
bfd/sysdep.h                               0                 0         -           0                 0         -           0                 0         -
bfd/vax1knetbsd.c                          0                 0         -           0                 0         -           0                 0         -
bfd/vaxbsd.c                               0                 0         -           0                 0         -           0                 0         -
bfd/vaxnetbsd.c                            0                 0         -           0                 0         -           0                 0         -
bfd/vms.h                                  0                 0         -           0                 0         -           0                 0         -
bfd/xsym.h                                 0                 0         -           0                 0         -           0                 0         -
binutils/config.h                          0                 0         -           0                 0         -           0                 0         -
binutils/sysdep.h                          0                 0         -           0                 0         -           0                 0         -
include/ansidecl.h                         0                 0         -           0                 0         -           0                 0         -
include/aout/adobe.h                       0                 0         -           0                 0         -           0                 0         -
include/aout/aout64.h                      0                 0         -           0                 0         -           0                 0         -
include/aout/ar.h                          0                 0         -           0                 0         -           0                 0         -
include/aout/dynix3.h                      0                 0         -           0                 0         -           0                 0         -
include/aout/hp300hpux.h                   0                 0         -           0                 0         -           0                 0         -
include/aout/ranlib.h                      0                 0         -           0                 0         -           0                 0         -
include/aout/stab.def                      0                 0         -           0                 0         -           0                 0         -
include/aout/sun4.h                        0                 0         -           0                 0         -           0                 0         -
include/bfdlink.h                          0                 0         -           0                 0         -           0                 0         -
include/bout.h                             0                 0         -           0                 0         -           0                 0         -
include/coff/alpha.h                       0                 0         -           0                 0         -           0                 0         -
include/coff/arm.h                         0                 0         -           0                 0         -           0                 0         -
include/coff/ecoff.h                       0                 0         -           0                 0         -           0                 0         -
include/coff/external.h                    0                 0         -           0                 0         -           0                 0         -
include/coff/go32exe.h                     0                 0         -           0                 0         -           0                 0         -
include/coff/h8300.h                       0                 0         -           0                 0         -           0                 0         -
include/coff/h8500.h                       0                 0         -           0                 0         -           0                 0         -
include/coff/i386.h                        0                 0         -           0                 0         -           0                 0         -
include/coff/i860.h                        0                 0         -           0                 0         -           0                 0         -
include/coff/i960.h                        0                 0         -           0                 0         -           0                 0         -
include/coff/ia64.h                        0                 0         -           0                 0         -           0                 0         -
include/coff/internal.h                    0                 0         -           0                 0         -           0                 0         -
include/coff/m68k.h                        0                 0         -           0                 0         -           0                 0         -
include/coff/m88k.h                        0                 0         -           0                 0         -           0                 0         -
include/coff/mcore.h                       0                 0         -           0                 0         -           0                 0         -
include/coff/mips.h                        0                 0         -           0                 0         -           0                 0         -
include/coff/mipspe.h                      0                 0         -           0                 0         -           0                 0         -
include/coff/pe.h                          0                 0         -           0                 0         -           0                 0         -
include/coff/powerpc.h                     0                 0         -           0                 0         -           0                 0         -
include/coff/rs6000.h                      0                 0         -           0                 0         -           0                 0         -
include/coff/rs6k64.h                      0                 0         -           0                 0         -           0                 0         -
include/coff/sh.h                          0                 0         -           0                 0         -           0                 0         -
include/coff/sparc.h                       0                 0         -           0                 0         -           0                 0         -
include/coff/sym.h                         0                 0         -           0                 0         -           0                 0         -
include/coff/symconst.h                    0                 0         -           0                 0         -           0                 0         -
include/coff/ti.h                          0                 0         -           0                 0         -           0                 0         -
include/coff/tic30.h                       0                 0         -           0                 0         -           0                 0         -
include/coff/tic4x.h                       0                 0         -           0                 0         -           0                 0         -
include/coff/tic54x.h                      0                 0         -           0                 0         -           0                 0         -
include/coff/tic80.h                       0                 0         -           0                 0         -           0                 0         -
include/coff/w65.h                         0                 0         -           0                 0         -           0                 0         -
include/coff/we32k.h                       0                 0         -           0                 0         -           0                 0         -
include/coff/x86_64.h                      0                 0         -           0                 0         -           0                 0         -
include/coff/xcoff.h                       0                 0         -           0                 0         -           0                 0         -
include/coff/z80.h                         0                 0         -           0                 0         -           0                 0         -
include/coff/z8k.h                         0                 0         -           0                 0         -           0                 0         -
include/demangle.h                         0                 0         -           0                 0         -           0                 0         -
include/dwarf2.h                           0                 0         -           0                 0         -           0                 0         -
include/elf/aarch64.h                      0                 0         -           0                 0         -           0                 0         -
include/elf/alpha.h                        0                 0         -           0                 0         -           0                 0         -
include/elf/arc-reloc.def                  0                 0         -           0                 0         -           0                 0         -
include/elf/arc.h                          0                 0         -           0                 0         -           0                 0         -
include/elf/arm.h                          0                 0         -           0                 0         -           0                 0         -
include/elf/avr.h                          0                 0         -           0                 0         -           0                 0         -
include/elf/bfin.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/common.h                       0                 0         -           0                 0         -           0                 0         -
include/elf/cr16c.h                        0                 0         -           0                 0         -           0                 0         -
include/elf/cris.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/external.h                     0                 0         -           0                 0         -           0                 0         -
include/elf/frv.h                          0                 0         -           0                 0         -           0                 0         -
include/elf/h8.h                           0                 0         -           0                 0         -           0                 0         -
include/elf/hppa.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/i370.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/ia64.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/internal.h                     0                 0         -           0                 0         -           0                 0         -
include/elf/ip2k.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/iq2000.h                       0                 0         -           0                 0         -           0                 0         -
include/elf/lm32.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/m32c.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/m32r.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/m68hc11.h                      0                 0         -           0                 0         -           0                 0         -
include/elf/m68k.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/mep.h                          0                 0         -           0                 0         -           0                 0         -
include/elf/microblaze.h                   0                 0         -           0                 0         -           0                 0         -
include/elf/mips.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/mmix.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/mn10300.h                      0                 0         -           0                 0         -           0                 0         -
include/elf/msp430.h                       0                 0         -           0                 0         -           0                 0         -
include/elf/mt.h                           0                 0         -           0                 0         -           0                 0         -
include/elf/nds32.h                        0                 0         -           0                 0         -           0                 0         -
include/elf/nios2.h                        0                 0         -           0                 0         -           0                 0         -
include/elf/or1k.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/pj.h                           0                 0         -           0                 0         -           0                 0         -
include/elf/ppc.h                          0                 0         -           0                 0         -           0                 0         -
include/elf/rl78.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/rx.h                           0                 0         -           0                 0         -           0                 0         -
include/elf/score.h                        0                 0         -           0                 0         -           0                 0         -
include/elf/sh.h                           0                 0         -           0                 0         -           0                 0         -
include/elf/sparc.h                        0                 0         -           0                 0         -           0                 0         -
include/elf/spu.h                          0                 0         -           0                 0         -           0                 0         -
include/elf/tic6x.h                        0                 0         -           0                 0         -           0                 0         -
include/elf/v850.h                         0                 0         -           0                 0         -           0                 0         -
include/elf/vax.h                          0                 0         -           0                 0         -           0                 0         -
include/elf/visium.h                       0                 0         -           0                 0         -           0                 0         -
include/elf/vxworks.h                      0                 0         -           0                 0         -           0                 0         -
include/elf/x86-64.h                       0                 0         -           0                 0         -           0                 0         -
include/elf/xgate.h                        0                 0         -           0                 0         -           0                 0         -
include/elf/xtensa.h                       0                 0         -           0                 0         -           0                 0         -
include/filenames.h                        0                 0         -           0                 0         -           0                 0         -
include/fopen-same.h                       0                 0         -           0                 0         -           0                 0         -
include/hashtab.h                          0                 0         -           0                 0         -           0                 0         -
include/ieee.h                             0                 0         -           0                 0         -           0                 0         -
include/libiberty.h                        0                 0         -           0                 0         -           0                 0         -
include/mach-o/external.h                  0                 0         -           0                 0         -           0                 0         -
include/mach-o/loader.h                    0                 0         -           0                 0         -           0                 0         -
include/mach-o/reloc.h                     0                 0         -           0                 0         -           0                 0         -
include/mach-o/x86-64.h                    0                 0         -           0                 0         -           0                 0         -
include/nlm/alpha-ext.h                    0                 0         -           0                 0         -           0                 0         -
include/nlm/common.h                       0                 0         -           0                 0         -           0                 0         -
include/objalloc.h                         0                 0         -           0                 0         -           0                 0         -
include/opcode/i386.h                      0                 0         -           0                 0         -           0                 0         -
include/opcode/m68hc11.h                   0                 0         -           0                 0         -           0                 0         -
include/opcode/m68k.h                      0                 0         -           0                 0         -           0                 0         -
include/opcode/nds32.h                     0                 0         -           0                 0         -           0                 0         -
include/opcode/sparc.h                     0                 0         -           0                 0         -           0                 0         -
include/os9k.h                             0                 0         -           0                 0         -           0                 0         -
include/safe-ctype.h                       0                 0         -           0                 0         -           0                 0         -
include/som/aout.h                         0                 0         -           0                 0         -           0                 0         -
include/som/lst.h                          0                 0         -           0                 0         -           0                 0         -
include/som/reloc.h                        0                 0         -           0                 0         -           0                 0         -
include/symcat.h                           0                 0         -           0                 0         -           0                 0         -
include/vms/dsc.h                          0                 0         -           0                 0         -           0                 0         -
include/vms/dst.h                          0                 0         -           0                 0         -           0                 0         -
include/vms/eeom.h                         0                 0         -           0                 0         -           0                 0         -
include/vms/egps.h                         0                 0         -           0                 0         -           0                 0         -
include/vms/egsd.h                         0                 0         -           0                 0         -           0                 0         -
include/vms/egsy.h                         0                 0         -           0                 0         -           0                 0         -
include/vms/eidc.h                         0                 0         -           0                 0         -           0                 0         -
include/vms/eihd.h                         0                 0         -           0                 0         -           0                 0         -
include/vms/eihi.h                         0                 0         -           0                 0         -           0                 0         -
include/vms/eihs.h                         0                 0         -           0                 0         -           0                 0         -
include/vms/eihvn.h                        0                 0         -           0                 0         -           0                 0         -
include/vms/eisd.h                         0                 0         -           0                 0         -           0                 0         -
include/vms/emh.h                          0                 0         -           0                 0         -           0                 0         -
include/vms/eobjrec.h                      0                 0         -           0                 0         -           0                 0         -
include/vms/esdf.h                         0                 0         -           0                 0         -           0                 0         -
include/vms/esrf.h                         0                 0         -           0                 0         -           0                 0         -
include/vms/etir.h                         0                 0         -           0                 0         -           0                 0         -
include/vms/lbr.h                          0                 0         -           0                 0         -           0                 0         -
include/vms/prt.h                          0                 0         -           0                 0         -           0                 0         -
include/xtensa-config.h                    0                 0         -           0                 0         -           0                 0         -
include/xtensa-isa-internal.h              0                 0         -           0                 0         -           0                 0         -
include/xtensa-isa.h                       0                 0         -           0                 0         -           0                 0         -
libiberty/cp-demangle.h                    0                 0         -           0                 0         -           0                 0         -
opcodes/sh-opc.h                           0                 0         -           0                 0         -           0                 0         -
opcodes/sh64-opc.h                         0                 0         -           0                 0         -           0                 0         -
zlib/deflate.h                             0                 0         -           0                 0         -           0                 0         -
zlib/inffixed.h                            0                 0         -           0                 0         -           0                 0         -
zlib/inftrees.h                            0                 0         -           0                 0         -           0                 0         -
zlib/zconf.h                               0                 0         -           0                 0         -           0                 0         -
zlib/zlib.h                                0                 0         -           0                 0         -           0                 0         -
zlib/zutil.h                               0                 0         -           0                 0         -           0                 0         -
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                 304194            301926     0.75%        8617              8461     1.81%      405775            402309     0.85%
